date,Domestic Aviation,Ground Transport,Industry,Power,Residential,西班牙
2019-03-09,0.01,0.17,0.17,0.11,0.12,0.58
2019-03-10,0.01,0.12,0.14,0.09,0.1,0.46
2019-03-11,0.02,0.26,0.19,0.12,0.11,0.69
2019-03-12,0.01,0.26,0.18,0.11,0.11,0.67
2019-03-13,0.01,0.26,0.14,0.09,0.12,0.62
2019-03-14,0.01,0.26,0.19,0.12,0.13,0.72
2019-03-15,0.02,0.27,0.21,0.13,0.11,0.73
2019-03-16,0.01,0.18,0.16,0.1,0.1,0.55
2019-03-17,0.01,0.14,0.12,0.08,0.11,0.46
2019-03-18,0.01,0.26,0.16,0.11,0.13,0.67
2019-03-19,0.01,0.26,0.15,0.09,0.13,0.64
2019-03-20,0.01,0.24,0.17,0.11,0.14,0.68
2019-03-21,0.01,0.25,0.2,0.13,0.14,0.74
2019-03-22,0.02,0.26,0.21,0.13,0.12,0.73
2019-03-23,0.01,0.17,0.18,0.11,0.11,0.59
2019-03-24,0.01,0.13,0.15,0.09,0.1,0.48
2019-03-25,0.02,0.26,0.14,0.09,0.1,0.61
2019-03-26,0.01,0.26,0.12,0.08,0.11,0.58
2019-03-27,0.01,0.26,0.15,0.1,0.12,0.64
2019-03-28,0.01,0.26,0.19,0.12,0.12,0.71
2019-03-29,0.02,0.27,0.2,0.13,0.12,0.74
2019-03-30,0.01,0.18,0.19,0.13,0.12,0.63
2019-03-31,0.02,0.12,0.21,0.13,0.12,0.6
2019-04-01,0.02,0.26,0.26,0.17,0.12,0.82
2019-04-02,0.01,0.26,0.24,0.16,0.11,0.79
2019-04-03,0.02,0.26,0.17,0.12,0.13,0.69
2019-04-04,0.02,0.27,0.21,0.14,0.14,0.77
2019-04-05,0.02,0.27,0.19,0.13,0.15,0.76
2019-04-06,0.01,0.18,0.13,0.09,0.15,0.55
2019-04-07,0.01,0.12,0.13,0.09,0.14,0.5
2019-04-08,0.02,0.26,0.2,0.13,0.12,0.73
2019-04-09,0.01,0.26,0.17,0.11,0.13,0.69
2019-04-10,0.02,0.26,0.19,0.13,0.13,0.73
2019-04-11,0.01,0.23,0.21,0.14,0.12,0.73
2019-04-12,0.02,0.16,0.21,0.14,0.12,0.65
2019-04-13,0.02,0.16,0.19,0.13,0.11,0.6
2019-04-14,0.02,0.12,0.17,0.11,0.09,0.5
2019-04-15,0.02,0.24,0.17,0.12,0.09,0.64
2019-04-16,0.02,0.25,0.23,0.15,0.1,0.74
2019-04-17,0.02,0.24,0.15,0.1,0.1,0.61
2019-04-18,0.02,0.23,0.18,0.12,0.11,0.67
2019-04-19,0.01,0.21,0.13,0.09,0.11,0.56
2019-04-20,0.02,0.15,0.11,0.08,0.1,0.45
2019-04-21,0.02,0.1,0.13,0.09,0.11,0.45
2019-04-22,0.02,0.23,0.19,0.13,0.1,0.66
2019-04-23,0.02,0.26,0.16,0.11,0.12,0.66
2019-04-24,0.02,0.26,0.12,0.08,0.12,0.6
2019-04-25,0.02,0.26,0.11,0.08,0.11,0.58
2019-04-26,0.02,0.27,0.16,0.11,0.11,0.67
2019-04-27,0.01,0.18,0.16,0.11,0.1,0.55
2019-04-28,0.02,0.12,0.14,0.09,0.09,0.46
2019-04-29,0.02,0.25,0.22,0.15,0.08,0.72
2019-04-30,0.02,0.26,0.21,0.14,0.08,0.72
2019-05-01,0.01,0.22,0.13,0.1,0.08,0.54
2019-05-02,0.01,0.24,0.14,0.11,0.08,0.58
2019-05-03,0.02,0.25,0.16,0.12,0.1,0.65
2019-05-04,0.02,0.17,0.13,0.1,0.1,0.51
2019-05-05,0.02,0.13,0.11,0.09,0.1,0.44
2019-05-06,0.02,0.26,0.2,0.15,0.09,0.72
2019-05-07,0.02,0.26,0.19,0.14,0.08,0.69
2019-05-08,0.02,0.26,0.11,0.09,0.07,0.55
2019-05-09,0.02,0.27,0.15,0.11,0.08,0.63
